Undergraduate programmes,,,,,,,,,
,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
Undergraduate first degree,,,,,,,,,
Students commencing their degree in 2019 (New entrants),"£9,250","£19,920",,,,,,,
Students who commenced their degree in 2018,"£9,250","£19,920",,,,,,,
Students who commenced their degree in 2017,"£9,250","£19,920",,,,,,,
Students who commenced their degree between 2014 and 2016,"£9,000","£19,920",,,,,,,
Students who commenced their degree between 2012 and 2013,"£8,500","£19,920",,,,,,,
,,,,,,,,,
General Course,"£20,520","£20,520",,,,,,,
A,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
Diploma in Accounting and Finance,"£24,888","£24,888",,,,,,,
MSc in Accounting and Finance,"£28,056","£28,608",,,,,,,
"MSc in Accounting, Organisations and Institutions","£28,056","£28,608",,,,,,,
LSE-Sciences Po Double Degree in Affaires Internationales and International Relations/ International Political Economy,See Double Degrees Section,,,,,,,,
MSc in Anthropology and Development,"£14,088","£21,744",,,,,,,
MSc in Anthropology and Development Management,"£21,744","£21,744",,,,,,,
MSc in Applicable Mathematics,"£14,088","£21,744",,,,,,,
MSc in Applied Social Data Science,"£28,056","£28,608",,,,,,,
B,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
MSc in Behavioural Science,"£21,744","£21,744",,,,,,,
C,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
MSc in China in Comparative Perspective,"£14,088","£21,744",,,,,,,
MSc in City Design and Social Science,"£28,056","£28,608",,,,,,,
MSc in Comparative Politics (All streams),"£21,744","£21,744",,,,,,,
MSc in Conflict Studies,"£21,744","£21,744",,,,,,,
MSc in Criminal Justice Policy,"£14,088","£21,744",,,,,,,
MSc in Culture and Conflict in a Global Europe,"£21,744","£21,744",,,,,,,
MSc in Culture and Society,"£14,088","£21,744",,,,,,,
D,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
MSc in Data Science,"£28,056","£28,608",,,,,,,
MSc in Development Management,"£21,744","£21,744",,,,,,,
MSc in Development Studies (All streams),"£14,088","£21,744",,,,,,,
E,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
MSc in Econometrics and Mathematical Economics,"£28,056","£28,608",,,,,,,
MSc in Economic History (Both streams),"£14,088","£21,744",,,,,,,
MSc in Economics,"£28,056","£28,608",,,,,,,
MSc in Economics (Two Year Programme),See Two Year Programme,,,,,,,,
MSc in Economics and Management,"£28,056","£28,608",,,,,,,
MSc in Economics and Philosophy,"£21,744","£21,744",,,,,,,
"MSc in Economy, Risk and Society","£14,088","£21,744",,,,,,,
"MSc in Empires, Colonialism and Globalisation","£14,088","£21,744",,,,,,,
MSc in Environment and Development,"£14,088","£21,744",,,,,,,
MSc in Environmental Economics and Climate Change,"£16,008","£23,328",,,,,,,
MSc in Environmental Policy and Regulation,"£14,088","£21,744",,,,,,,
MSc European and International Public Policy,"£21,744","£21,744",,,,,,,
MSc in European Studies (Research),"£21,744","£21,744",,,,,,,
LSE-Sciences Po Double Degree in European Studies,See Double Degrees Section,,,,,,,,
F,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
MSc in Finance (Full Time),"£35,568","£35,568",,,,,,,
MSc in Finance and Economics,"£28,056","£28,608",,,,,,,
MSc in Finance and Private Equity,"£35,568","£35,568",,,,,,,
MSc in Financial Mathematics,"£28,056","£28,608",,,,,,,
G,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
MSc in Gender (All streams),"£14,088","£21,744",,,,,,,
"MSc in Gender, Development and Globalisation","£14,088","£21,744",,,,,,,
"MSc in Gender, Media and Culture","£14,088","£21,744",,,,,,,
"MSc in Gender, Policy and Inequalities","£14,088","£21,744",,,,,,,
MSc in Global Economic History (Erasmus Mundus),"£14,088","£21,744",,,,,,,
MSc in Global Health Policy,"£18,008","£25,328",,,,,,,
MSc in Global Media and Communications,See Double Degrees Section,,,,,,,,
Global MSc in Management,See Two Year Programme,,,,,,,,
MSc in Global Politics,"£23,328","£23,328",,,,,,,
MA in Global Studies: A European Perspective,See Double Degrees Section,,,,,,,,
H,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
MSc in Health and International Development,"£14,088","£21,744",,,,,,,
"MSc in Health Policy, Planning and Financing",See How to Apply on the London School of Hygiene & Tropical,,,,,,,,
,Medicine website,,,,,,,,
MSc in History of International Relations,"£14,088","£21,744",,,,,,,
MSc in Human Geography and Urban Studies (Research),"£14,088","£21,744",,,,,,,
MSc in Human Resources and Organisations,"£23,328","£23,328",,,,,,,
MSc in Human Resources and Organisations (HRM/CIPD Specialism),"£24,336","£24,336",,,,,,,
MSc in Human Rights,"£16,008","£23,328",,,,,,,
MSc in Human Rights and Politics,"£16,008","£23,328",,,,,,,
I,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
LSE-PKU Double Degree in International Affairs,See Double Degrees Section,,,,,,,,
Double Degree in International and World History,See Double Degrees Section,,,,,,,,
MSc in Inequalities and Social Science,"£14,088","£21,744",,,,,,,
MSc in International Development and Humanitarian Emergencies,"£14,088","£21,744",,,,,,,
MSc in International Health Policy (All streams),"£17,016","£24,336",,,,,,,
MSc in International Migration and Public Policy,"£21,744","£21,744",,,,,,,
MSc in International Political Economy (Both streams),"£23,328","£23,328",,,,,,,
MSc in International Relations (Both streams),"£23,328","£23,328",,,,,,,
MSc in International Relations Theory,"£23,328","£23,328",,,,,,,
MSc in International Social and Public Policy (All streams) 2,"£14,288","£21,944",,,,,,,
L,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
LLM,"£16,008","£23,328",,,,,,,
MSc in Law and Accounting,"£23,328","£23,328",,,,,,,
MSc in Local Economic Development,"£14,088","£21,744",,,,,,,
M,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
MSc in Management 3,"£31,056","£31,056",,,,,,,
MSc in Management and Strategy,"£28,056","£28,608",,,,,,,
MSc in Management of Information Systems and Digital Innovation,"£28,056","£28,608",,,,,,,
MSc in Marketing,"£28,056","£28,608",,,,,,,
MSc in Media and Communications (All streams),"£21,744","£21,744",,,,,,,
"MSc in Media, Communication and Development","£21,744","£21,744",,,,,,,
O,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
MSc in Operations Research and Analytics,"£23,328","£23,328",,,,,,,
MSc in Organisational and Social Psychology,"£21,744","£21,744",,,,,,,
P,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
MSc in Philosophy and Public Policy,"£21,744","£21,744",,,,,,,
MSc in Philosophy of Science,"£14,088","£21,744",,,,,,,
MSc in Philosophy of the Social Sciences,"£14,088","£21,744",,,,,,,
MSc in Political Economy of Europe,"£21,744","£21,744",,,,,,,
MSc in Political Economy of Late Development,"£14,088","£21,744",,,,,,,
MSc in Political Science and Political Economy,"£21,744","£21,744",,,,,,,
MSc in Political Sociology,"£14,088","£21,744",,,,,,,
MSc in Political Theory,"£14,088","£21,744",,,,,,,
MSc in Politics and Communication,"£21,744","£21,744",,,,,,,
MSc in Psychology of Economic Life,"£16,008","£21,744",,,,,,,
LSE-PKU Double Degree in Public Administration and Government,See Double Degrees Section,,,,,,,,
MPA (Master of Public Administration),See MPA Section,,,,,,,,
MSc in Public Policy and Administration (Both streams),"£21,744","£21,744",,,,,,,
MPP (Master of Public Policy),"£32,500","£32,500",,,,,,,
Q,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
MSc in Quantitative Economic History,"£14,088","£21,744",,,,,,,
MSc in Quantitative Methods for Risk Management,"£28,056","£28,608",,,,,,,
R,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
MSc in Real Estate Economics and Finance,"£23,328","£23,328",,,,,,,
MSc in Regional and Urban Planning Studies,"£14,088","£21,744",,,,,,,
MSc in Regulation (Both streams),"£14,088","£21,744",,,,,,,
MSc in Risk and Finance,"£28,056","£28,608",,,,,,,
S,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
