Department,Level,Fee Difference
Accounting,Postgraduate,576.0
Anthropology,Postgraduate,7968.0
Department not found,Postgraduate,2497.3846153846152
Department not found,Undergraduate,12320.0
Economic History,Postgraduate,7968.0
Economics,Postgraduate,384.0
European Institute,Postgraduate,0.0
Finance,Postgraduate,0.0
Gender Studies,Postgraduate,7968.0
Geography and Environment,Postgraduate,6778.285714285715
Government,Postgraduate,7968.0
Health Policy,Postgraduate,7608.0
International Development,Postgraduate,5312.0
International History,Postgraduate,7968.0
Management,Postgraduate,480.0
Mathematics,Postgraduate,4272.0
Media and Communications,Postgraduate,0.0
Methodology,Postgraduate,4272.0
Philosophy Logic and Scientific Method,Postgraduate,3984.0
Psychological and Behavioural Science,Postgraduate,4640.0
Social Policy,Postgraduate,7968.0
Sociology,Postgraduate,7824.0
Statistics,Postgraduate,576.0
